FULL_NAME,BIRTHDAY,KS,IDENTIFY
Phan Linh Hải Khanh,08121948,63TTT 067HH 5777,63248586070
Doãn Văn Hưng,25121923,30TTT 192HH 2900,30223915155
Lê Gia Trường,15011991,57TTT 110HH 996,57391810589
Lê Thị Hiếu,02011957,50TTT 188HH 5415,50257678606
Đặng Văn Vẽ,16012018,52TTT 157HH 17939,52018039964
Trịnh Thị Hoài,08121933,31TTT 135HH 4803,31333088984
Nguyễn Xuân Hân,22121923,35TTT 047HH 16993,35323438765
Phan Thế Hà,19051943,07TTT 159HH 2922,7243031037
Phan Duy Long,29051958,16TTT 078HH 3301,16258426293
Nguyễn Đức Hằng,27081998,28TTT 021HH 9876,28298836614
Trần Thị Ngọc,26072009,39TTT 037HH 13569,39109229169
Lê Quang Thưởng,10021967,50TTT 057HH 14687,50267969058
Nguyễn Văn Thảo,25021981,44TTT 221HH 17340,44381747871
Nguyễn Văn Thỏa,11111915,01TTT 151HH 15678,1215502770
Nguyễn Minh Nhu,31041970,41TTT 075HH 11244,41370181813
Võ Phú Ly,06062003,63TTT 058HH 1596,63103705933
Lê Thảo Phượng,01121965,06TTT 229HH 14324,6265161557
Nguyễn Văn Thành,30121934,37TTT 022HH 2674,37334804363
Dương Thị Thanh Bài,06101944,15TTT 000HH 11801,15244619376
Nguyễn Đăng Hiếu,16041953,42TTT 103HH 7638,42253077131
Nguyễn Trọng Hải,27041986,34TTT 021HH 9558,34386663225
Trần Tiến Hạnh,25111979,62TTT 257HH 12574,62279293301
Nguyễn Đình Huy,14101948,28TTT 259HH 13545,28248541900
Dương Thị Nhân,22041979,58TTT 178HH 13840,58279344996
Nguyễn Ngọc Hà Hải,15021997,04TTT 198HH 3878,4397966139
Nguyễn Minh Phòng,27101992,63TTT 236HH 13059,63292633323
Lê Thị Dung,06051987,32TTT 229HH 5728,32287878636
Lê Văn Dương,22091909,45TTT 104HH 757,45209669314
Phạm Thị Tuyết,28121931,01TTT 189HH 9956,1331916503
Phommavanh Xuân My,17121968,08TTT 224HH 19954,8368182376
Nguyễn Khắc Lan,29101925,09TTT 071HH 16313,9325341651
Lưu Ngọc Uyên,04102005,22TTT 236HH 3135,22005302322
Đỗ Thị Hồng Tuấn,19022001,04TTT 137HH 17288,4001396051
Trịnh Thị Phú,04081976,48TTT 005HH 4903,48376791812
Dương Văn Khuyên,07091946,55TTT 180HH 13246,55246435652
Lê Sỹ Mạnh Tiến,13101937,27TTT 069HH 2404,27237491682
Lê Thị Thu Chung,13031974,57TTT 053HH 1127,57374782199
Võ Thị Minh Việt,15031941,50TTT 045HH 17837,50241023556
Nguyễn Thị Hà,06031979,02TTT 048HH 17772,2379239662
Nnguyễn Phương Tuệ Khôi,28121961,44TTT 201HH 17549,44361403736
Hoàng Trung My,03021985,40TTT 199HH 16539,40385649882
Đinh An Hoàng Hằng,07101988,55TTT 031HH 11442,55388851740
Nguyễn Thị Quảng,02101964,38TTT 057HH 19252,38264521687
Đào Thị Thọ,22061955,11TTT 253HH 14797,11255512709
Nguyễn Thị Ngọc Thụ,16081986,07TTT 002HH 16869,7386365484
Phùng Thanh Cẩm,22011902,16TTT 019HH 13309,16202569425
Nguyễn Thị Tình,21051953,18TTT 195HH 7613,18353812515
Chu Thị Quảng,31091920,57TTT 053HH 3071,57220721396
Đặng Viết Hằng,08071951,47TTT 220HH 4836,47251839073
Nguyễn Thế Huy,07052000,16TTT 159HH 1694,16100807345
Trịnh Hải Bách,23011981,05TTT 123HH 13766,5381720327
Lê Lê Sơn,21031983,40TTT 029HH 3414,40283859148
Nguyễn Anh Cành,30071972,11TTT 146HH 8570,11372432202
Nguyễn Thị Mẫn,15021909,63TTT 252HH 7317,63309496413
Lê Thị Quỳnh,27021991,01TTT 030HH 8264,1391990442
Đặng Thị Hồng Bình,04031977,40TTT 117HH 5805,40277324439
Vũ Hồng Diến,04011991,61TTT 132HH 16177,61391340960
Trần Hồng Thành,25111989,48TTT 213HH 17496,48289863044
Phan Khánh Hương,22082014,43TTT 054HH 11856,43114880074
Trần Thị Tùng,18011943,40TTT 105HH 10041,40343233958
Hạ Gia Linh,24082018,01TTT 208HH 11645,1018512442
Trịnh Viết Hoàng Len,02071903,36TTT 042HH 14183,36303882397
Dương Thị Bích Hà,03091907,17TTT 011HH 14951,17307441819
Trần Thị Mai Hưng,24061910,29TTT 131HH 2582,29310829502
Dương Đình Tú,21071956,02TTT 247HH 10715,2256261882
Đặng Quang Thắm,19061932,27TTT 234HH 1577,27332449999
Trịnh Xuân Hiên,16021924,01TTT 112HH 9876,1224219913
Lưu Thị Anh,25051955,02TTT 183HH 289,2255777377
,10091935,45TTT 038HH 2260,45335812857
Lỗ Hoàng Hiếu,18081915,15TTT 061HH 19686,15315152372
Nguyễn Xuân Linh,31081992,45TTT 189HH 11150,45292569383
Phan Linh Hải Tú,31092003,45TTT 201HH 19287,45103626764
Lê Quang Anh,17011994,02TTT 029HH 19525,2394476371
Lê Đình Lâm,15021925,57TTT 084HH 7178,57225856728
Nguyễn Thị Hà,23011946,44TTT 184HH 1340,44246881518
Nguyễn Hồng Vũ,30071983,06TTT 152HH 1274,6383032787
Nguyễn Quang Hiếu,18071912,26TTT 190HH 2206,26312572701
Lưu Ngọc Bảo Toàn,11031903,13TTT 246HH 8658,13203670684
Nguyễn Tuấn Loan,03041994,26TTT 032HH 17053,26294453203
Trần Thị Am,02111989,14TTT 149HH 5214,14289242471
Nguyễn Thị Quỳnh,24031962,01TTT 244HH 8126,1262372547
Trần Xuân Thịnh,16071910,41TTT 072HH 17733,41210018554
Đinh Quang Tuấn Linh,14121907,11TTT 160HH 16037,11307818654
Lê Thị Phương,24051931,38TTT 004HH 1829,38231829586
Vũ Thị Mai Quyên,29061988,35TTT 128HH 8195,35388895582
Lục Minh Phương,10121957,14TTT 119HH 5556,14257908493
Đinh Văn Hảo,06102016,12TTT 185HH 4776,12116301923
Nguyễn Thị Thịnh,25101984,14TTT 199HH 17930,14384999489
Nguyễn Quang Đức,04031966,22TTT 243HH 19049,22366499603
Nguyễn Minh Ngọc,24061916,14TTT 072HH 5918,14316567630
Phạm Việt Nhi,03042006,41TTT 124HH 14751,41106313144
Trần Hồng Trinh,22031953,05TTT 256HH 2136,5353167664
Nguyễn Viết Vỹ,24061996,40TTT 097HH 17437,40296872099
Đoàn Gia Minh,02081984,53TTT 124HH 11829,53384972299
Dương Trung Cường,15122000,63TTT 055HH 17580,63000267308
Nguyễn Bảo Đăng,03051918,18TTT 116HH 4726,18318337073
Trần Thị Quỳnh,09121923,50TTT 226HH 19861,50323039882
Lê Hà Bộ,10121916,17TTT 123HH 15434,17316721322
Nguyễn Quang Vũ,12081919,52TTT 130HH 5132,52319587740
Nguyễn Nam Sovanmuny,18052009,16TTT 114HH 2766,16109090712
Đoàn Đức Long,03091986,14TTT 130HH 12657,14286509874
Nguyễn Văn Hương,07111986,43TTT 111HH 12829,43386564598
Nguyễn Văn Mùi,31091952,34TTT 101HH 11583,34352496357
Đỗ Tuấn Huy,05031925,16TTT 099HH 14116,16325264880
Nguyễn Văn Bảo,27032004,02TTT 152HH 1976,2104082812
Nguyễn Thanh Mai,05051916,20TTT 057HH 15930,20316649393
Nguyễn Khánh Dung,05021980,57TTT 018HH 4915,57380762729
Nguyễn Thị Hiếu,05031993,37TTT 226HH 10956,37293345281
Nguyễn Thị Hòa,16121962,38TTT 232HH 17896,38362317269
Nguyễn Văn Ly,30091927,63TTT 242HH 409,63327411010
Nguyễn Ngọc Yến Minh,07081985,02TTT 105HH 61,2385062659
Trương Văn Hải,23081972,44TTT 008HH 9287,44272043139
Nguyễn Thị Thanh Thêu,18091970,30TTT 032HH 10778,30370610463
Đào Thị Mai Hiền,05111954,42TTT 240HH 19635,42354171312
Nguyễn Thị Linh,08121922,29TTT 114HH 6311,29322111886
Đỗ Hữu Phương,11031966,04TTT 018HH 17148,4266497786
Ngô Nhất Nhi,31081937,40TTT 014HH 8757,40337157409
Bùi Phi Đắc,18091908,20TTT 201HH 9574,20208672621
Tạ Văn Mùi,15041901,32TTT 240HH 12570,32201174910
Phạm Hoàng Minh Linh,29051921,33TTT 091HH 18476,33221557133
Nguyễn Duy Việt,03111946,09TTT 155HH 13007,9246223911
Trương Thị Hồng Huy,09051984,13TTT 145HH 9607,13284819833
Nguyễn Văn Đóa,02041915,02TTT 122HH 1092,2215747085
Đỗ Bảo Thạo,27021946,49TTT 101HH 9657,49346232600
Nguyễn Vi Sáng,26111910,07TTT 233HH 388,7310210531
Nguyễn Thị Bích Hạnh,02071903,26TTT 130HH 2860,26203127289
Nguyễn Nguyên Quyên,19011981,13TTT 179HH 401,13381069640
Nguyễn Quang Thúy,17041973,25TTT 048HH 18200,25273286004
Nguyễn Đan Tuyết,05102016,58TTT 096HH 14036,58016756630
Nguyễn Thị Nhung,21071917,36TTT 159HH 8702,36317408522
Trần Đức Ngân,26041915,27TTT 107HH 1695,27315582309
Nguyễn Đức Huyên,31011942,48TTT 005HH 10608,48342635129
Lê Minh Mai,25121918,08TTT 249HH 14106,8218351528
Lã Ngọc Hà,18111947,51TTT 200HH 2923,51347434416
Nguyễn Văn Tùng,18022001,24TTT 218HH 14260,24001675985
Đào Thị Sơn,20081973,47TTT 112HH 8458,47373796023
Đỗ Thị Anh,19112013,29TTT 242HH 5979,29013529436
Đinh Văn Thanh,10091909,09TTT 018HH 8467,9209316896
Đỗ Anh Linh,18071966,47TTT 087HH 12907,47266441672
Nguyễn Văn Mai,15091926,36TTT 053HH 13920,36326403619
Nguyen Hồng Hạnh,15122018,28TTT 032HH 5160,28018664917
Đỗ Thị Phúc,08021981,52TTT 020HH 16176,52381986672
Bùi Phong Anh,23101969,32TTT 236HH 12124,32369408782
Phạm Thị Hà,03061912,38TTT 246HH 17907,38312290477
Phùng Thành Anh,10071956,52TTT 230HH 12692,52256147376
Lê Thị Ánh Vũ,30051944,07TTT 168HH 10830,7244327777
Trần Thanh Loan,18122012,41TTT 114HH 11320,41012257499
Nguyễn Xuân Cường,30112007,60TTT 177HH 12963,60007341045
Hà Ngân Đức,29101912,59TTT 206HH 8632,59212472413
Đào Thị Thanh Tuyết,22021908,03TTT 151HH 8755,3308465881
Lê Thị Đức,12022013,33TTT 083HH 17751,33113642921
Trần Thị Yên,12121941,05TTT 218HH 15477,5341879127
Đàm Thanh Nga,18071954,63TTT 014HH 912,63354920895
Vũ Huy Khánh,01011997,57TTT 060HH 4675,57297796164
Nguyễn Ngọc Chương,17121931,51TTT 211HH 13709,51231505500
Lê Khánh Hiền,16061955,55TTT 030HH 4541,55355467007
Trương Thị Kim Huyền,27021984,52TTT 126HH 9702,52284048874
Trần Văn Bàng,30081971,27TTT 103HH 10563,27271851005
Trần Huy Long,18031969,33TTT 038HH 5739,33369714966
Nguyễn Văn Nhung,05081997,32TTT 135HH 4638,32397162708
Nguyễn Ngọc Chinh,08011967,09TTT 055HH 17702,9267682361
Đinh Thế Thương,04091954,10TTT 039HH 4630,10254902822
Nguyễn Thanh Anh Tâm,05041947,19TTT 194HH 10810,19247727814
Nguyễn Anh Vi,24111943,31TTT 090HH 19218,31343093187
Nguyễn Việt Huy,03092018,62TTT 220HH 19602,62118924643
Dương Đan Khoa,15102013,58TTT 041HH 4885,58013843766
Ngô Hồng Giang,06061980,23TTT 019HH 17044,23380751777
Nguyễn Thị Thư,04051907,47TTT 174HH 17867,47307658305
Đặng Thị Thu Phương,15092009,11TTT 105HH 19981,11109491844
Vũ Thị Thanh,18092012,31TTT 110HH 16284,31112331740
Bùi Đình Hiền,07071960,55TTT 012HH 14262,55360937116
Nguyễn Chí Tiến,24021931,51TTT 115HH 3264,51331215472
Phạm Việt Hân,29012000,35TTT 255HH 19512,35000142266
Nguyễn Văn Linh,08041925,25TTT 150HH 9389,25225801740
Đặng Xuân Hùng,19071926,31TTT 201HH 18877,31226092009
Đỗ Thị Cẩm,30091989,22TTT 057HH 15673,22389428036
Vũ Tuệ Tĩnh,25101986,17TTT 176HH 5155,17286784992
Trương Ngọc Dũng,05111936,53TTT 114HH 2636,53236261322
Doãn Thị My,17071917,03TTT 150HH 5924,3317463038
Trịnh Thu Thọ,13071970,56TTT 095HH 6427,56370572393
Nguyễn Quang Tuấn Tuấn,11041973,03TTT 225HH 17835,3273366701
Trần Văn Thắng,18011996,22TTT 202HH 17578,22296838159
Nguyễn Minh Hiên,24011953,28TTT 196HH 18552,28253427054
Nguyễn Xuân Lương,08121965,55TTT 205HH 170,55265115450
Nguyễn Quang Khôi,20031905,04TTT 190HH 9013,4305862174
Trần Thị Thùy Ngọc,23021956,37TTT 167HH 17869,37256003096
Nguyễn Văn Hoa,10011945,28TTT 013HH 4162,28245780993
Trần Gia Sơn,16031979,37TTT 004HH 16882,37379070845
Đào Viết Hà,16041903,32TTT 138HH 9957,32303744639
Trịnh Việt Linh,17081995,12TTT 211HH 16383,12295169527
Nguyễn Văn Linh,01121925,61TTT 127HH 4572,61225011405
Trương Thị Tuyết Anh,18111904,33TTT 211HH 14178,33304731121
Nguyễn Thị Tùng,27051928,15TTT 184HH 9899,15228492600
Nguyễn Huyền Thiên Hào,30071997,62TTT 133HH 19092,62397791368
Nguyễn Thị Thu Lương,09091990,07TTT 049HH 19279,7290700480
Phạm Mai Hà,28111978,46TTT 073HH 10524,46278203446
Lê Nam Hợp,18101992,16TTT 255HH 14446,16292653204
Trần Đình Ngọc,09071945,20TTT 144HH 19609,20245270268
Vương Thị Ngọc Quỳnh,26021923,45TTT 087HH 5393,45223531077
Trần Kim Giang,20071919,36TTT 245HH 18557,36219703739
Nguyễn Khánh Nhật,08071948,29TTT 217HH 4139,29248870475
Nguyễn Minh Mạnh,31091944,36TTT 233HH 5919,36344198027
Trương Anh Liên,06081932,29TTT 089HH 14035,29232112459
Phạm Hữu Sở,29031943,44TTT 128HH 11524,44343605172
Nguyễn Thị Nhung,06092008,38TTT 147HH 6790,38008071916
Nguyễn Duy Quân,29101956,09TTT 058HH 4337,9356385083
Cao Khánh Hoàng,12041972,36TTT 237HH 12662,36272488811
Nguyễn Khánh Phương,03111999,28TTT 191HH 14201,28399668875
Lưu Xuân Sơn,17021986,12TTT 171HH 9693,12286070256
Đặng Thanh Hùng,08031962,03TTT 250HH 11915,3262697416
Nguyễn Thị Thanh Nhi,07041916,03TTT 086HH 101,3216423433
Phạm Thị Quyến,31092013,23TTT 107HH 14229,23113072124
Dương Thanh Tịch,14051916,47TTT 122HH 243,47316654214
Lê Thị Anh,14042013,55TTT 059HH 991,55013607909
Nguyễn Việt Xuyên,17011935,24TTT 006HH 3977,24235055381
Lê Mạnh Dung,08022015,07TTT 245HH 2045,7115045456
Hà Việt Long,12062009,32TTT 251HH 13019,32009095906
Nguyễn Thị Bích Minh,05081989,61TTT 007HH 8798,61289889162
Tạ Thị Hồng Vy,31051908,05TTT 222HH 3874,5308506593
Vũ Tùng Thanh,19061916,20TTT 194HH 11420,20316800902
Nguyễn Ngọc Hòa,01051962,10TTT 081HH 6324,10262748224
Đàm My An Huy,18101952,12TTT 029HH 9813,12352684173
Nguyễn Văn Tùng,26071927,05TTT 005HH 18723,5227855480
Nguyễn Trung Tuấn,19011999,39TTT 145HH 11971,39399518646
Bùi Duy Tuấn,31101998,01TTT 145HH 14377,1298154810
Nguyễn Văn Anh,19091973,27TTT 230HH 13493,27273182843
Trịnh Đức Thanh,14011991,48TTT 187HH 13581,48391733918
Đỗ Nguyễn Minh Tuyết,16071944,01TTT 083HH 11139,1244069360
Đào Tuấn Bàng,22102009,10TTT 007HH 6327,10109427277
Đào Mai Tiến,04031997,46TTT 103HH 9179,46297514805
Triệu Văn Tuấn,11031986,12TTT 103HH 10982,12286202756
Nguyễn Văn Giang,12061943,03TTT 160HH 18239,3243487769
Lê Thị Khánh,29121949,21TTT 250HH 14775,21249176901
Trần Văn Hạnh,05081903,62TTT 000HH 2496,62203953964
Lưu Thị Hạnh,28101977,07TTT 186HH 17232,7377720127
Nguyễn Thị Thu Nhật,04111933,54TTT 175HH 13545,54233068486
Hoàng Tuấn Lanh,19081902,29TTT 187HH 7952,29202644327
Phạm Văn Linh,31081972,03TTT 006HH 14351,3272857462
Đoàn Thị Sơn,08102013,38TTT 009HH 16056,38113210452
Nguyễn Duy Dinh,13061926,49TTT 123HH 15186,49226590206
Đỗ Thị Hồng Hoàng,23111925,09TTT 008HH 1180,9325901608
Nguyễn Văn Tú,06042005,42TTT 008HH 177,42005903994
Nguyễn Hồng Hạnh,20071974,64TTT 159HH 9327,64374685686
Triệu Tuấn Thảo,05061991,03TTT 029HH 1461,3291392326
Đặng Kim Khanh,11031921,07TTT 212HH 8800,7221136733
Hoàng Nguyễn Quang Hằng,02122010,31TTT 160HH 10459,31010049494
Chu Thế Tuấn Thạo,06112003,16TTT 204HH 6465,16103704061
Nguyễn Văn Hải,10081946,24TTT 251HH 15444,24246252310
Trương Văn Am,18111982,26TTT 034HH 1986,26382565492
Nguyễn Huy Hùng,15061935,02TTT 200HH 5669,2335410178
Đỗ Thị Huyền Hoàng,07091903,05TTT 023HH 10498,5203757404
Dương Thị Hoài Nghĩa,28012012,01TTT 219HH 9061,1012630388
,05072011,19TTT 182HH 12095,19011766205
Đỗ Hà Linh,08101977,26TTT 060HH 5603,26277304109
Hoàng Đức Khôi Chinh,18031938,49TTT 034HH 2764,49238653817
Trần Thị Thêu,02091984,28TTT 214HH 15035,28284597567
Nguyễn Văn Ngọc,11121964,15TTT 248HH 13591,15364562972
Vũ Thị Huyền Liệp,01071969,49TTT 158HH 2677,49369814018
Nguyễn Bảo Hiền,14111913,64TTT 004HH 10756,64213854422
Phạm Thanh Tú,26081953,62TTT 018HH 2853,62353554092
Nguyễn Văn Tĩnh,19051945,60TTT 120HH 5415,60245914449
Trần Phương Cường,14121964,23TTT 204HH 1795,23364620716
Nguyễn Hà Đức,11051999,43TTT 114HH 14201,43299616489
Nguyễn Ngọc Nguyên,16041975,04TTT 112HH 15957,4275698119
Nguyễn Minh Việt,06052002,40TTT 231HH 4858,40002873944
Đặng Lê Vân Hân,07021927,46TTT 083HH 4316,46227949638
Nguyễn Minh Anh,16072008,18TTT 034HH 6307,18108821920
Trần Đức Nhân,30121977,35TTT 151HH 16752,35277796530
Nguyễn Ngọc Chi,19011915,29TTT 120HH 2416,29315838869
Phạm Đăng Mạnh,02021956,56TTT 078HH 610,56256373361
Nguyễn Văn Khanh,30111991,40TTT 050HH 14585,40291844115
Nguyễn Thành Hiệp,04061929,05TTT 150HH 16476,5329733546
Trần Văn Sửu,16031905,54TTT 101HH 12255,54305604922
Dương Duy Phong,14121967,27TTT 203HH 2971,27267347507
Nguyễn Thị Khanh,09031991,30TTT 131HH 6487,30391301349
Nguyễn Hà Tiếp,25021978,19TTT 065HH 14260,19378006895
Nguyễn Thị Phương,06062001,47TTT 057HH 18377,47001995290
Lê Tiến Trung,14041977,16TTT 165HH 12176,16377252103
Vũ Đức Linh,13021925,59TTT 168HH 9361,59225008494
Nguyễn Thị Bích Minh,06071971,15TTT 258HH 16236,15371064041
Đoàn Thục Vân,26041902,47TTT 176HH 13689,47302499864
Nguyễn Thế Nhật,06081901,22TTT 141HH 1313,22301361576
Đinh Thanh Phương,31101952,16TTT 222HH 6136,16352253870
Nguyễn Khánh Tản,06092017,14TTT 255HH 14492,14017821341
Bùi Thị Nhi,20051947,25TTT 199HH 8419,25247623316
Nguyễn Thế Sách,06121920,32TTT 142HH 13400,32320881932
Dương Thị Linh,24071941,44TTT 126HH 3678,44241634625
Phạm Thị Hiền,01081932,41TTT 204HH 10018,41332256249
,19101990,39TTT 236HH 4800,39290362317
Tô Thị Đức,31011979,20TTT 065HH 7828,20379976183
Nguyễn Ngọc Bảo Luyến,14021937,01TTT 087HH 13092,1237123060
Trần Viết Hoàng Ánh,06071958,32TTT 027HH 7296,32258976274
Trần Thị Quỳnh,29121991,52TTT 144HH 2225,52391921936
Trần Minh Hương,02031954,02TTT 068HH 11494,2254550113
Trương Thái Huy,05072016,11TTT 157HH 11402,11016700538
Lê Thị Hy,30111921,26TTT 158HH 2586,26321710983
Nguyễn Thị Lý,22121924,37TTT 090HH 9016,37324195479
Trần Văn Trinh,21021934,61TTT 046HH 13643,61334445764
Nguyễn Ngọc Khôi,19101954,37TTT 096HH 18163,37354924300
Trần Văn Huy,09042008,35TTT 231HH 12255,35108325832
Lại Huy Thoa,28081943,27TTT 076HH 7932,27343318101
Nguyễn Văn Anh,04091946,16TTT 110HH 6726,16346689564
Nguyễn Vi Trung,25101934,30TTT 201HH 7669,30334668260
Hoàng Thị Thùy Thúy,24091976,08TTT 076HH 19209,8276452984
Nguyễn Thùy Tòng,25062011,16TTT 036HH 19882,16011689339
Đỗ Ngọc Linh,17052012,58TTT 075HH 6331,58012566524
Nguyễn Hiền Thắng,10121954,31TTT 240HH 16416,31254740108
Lê Hoàng Minh Thùy,26101986,49TTT 075HH 1966,49286681211
Phạm Xuân Đức,25071944,48TTT 247HH 8902,48344990370
Phạm Hải Hải,23111943,16TTT 049HH 3703,16343091063
